Player,Age,Ast,CrdR,CrdY,Gls,Min,MP,Nation,PK,Pos,Starts,Team
Moussa Diaby,25,4.0,0.0,1.0,0.0,270.0,3,fr FRA,0.0,MF,3,Al-Ittihad
Fabinho,30,0.0,0.0,0.0,1.0,270.0,3,br BRA,0.0,MF,3,Al-Ittihad
Hassan Kadesh,32,0.0,0.0,1.0,0.0,270.0,3,sa KSA,0.0,DF,3,Al-Ittihad
Predrag Rajković,28,0.0,0.0,0.0,0.0,270.0,3,rs SRB,0.0,GK,3,Al-Ittihad
Karim Benzema,36,0.0,0.0,0.0,4.0,269.0,3,fr FRA,0.0,FW,3,Al-Ittihad
Houssem Aouar,26,0.0,0.0,1.0,3.0,249.0,3,dz ALG,1.0,MF,3,Al-Ittihad
N'Golo Kanté,33,0.0,0.0,1.0,0.0,244.0,3,fr FRA,0.0,MF,3,Al-Ittihad
Saad Al Mosa,21,0.0,0.0,0.0,0.0,244.0,3,sa KSA,0.0,DF,3,Al-Ittihad
Fawaz Al-Sqoor,28,0.0,0.0,1.0,1.0,208.0,3,sa KSA,0.0,DF,3,Al-Ittihad
Muhannad Shenqeeti,25,2.0,0.0,0.0,0.0,187.0,3,sa KSA,0.0,DF,1,Al-Ittihad
Abdulrahman Al-Aboud,29,1.0,0.0,0.0,0.0,122.0,3,sa KSA,0.0,MF,1,Al-Ittihad
Danilo Pereira,33,0.0,0.0,0.0,0.0,90.0,1,pt POR,0.0,DF,1,Al-Ittihad
Steven Bergwijn,26,2.0,0.0,0.0,0.0,64.0,1,nl NED,0.0,MF,1,Al-Ittihad
Ahmed Al Ghamdi,23,0.0,0.0,0.0,0.0,60.0,1,sa KSA,0.0,MF,1,Al-Ittihad
Luiz Felipe,27,0.0,0.0,0.0,0.0,19.0,1,it ITA,0.0,DF,1,Al-Ittihad
Saleh Al-Shehri,30,0.0,0.0,0.0,1.0,57.0,3,sa KSA,0.0,FW,0,Al-Ittihad
Abdulelah Al-Amri,27,0.0,0.0,0.0,0.0,26.0,1,sa KSA,0.0,DF,0,Al-Ittihad
Hamed Al-Ghamdi,25,0.0,0.0,0.0,0.0,26.0,1,sa KSA,0.0,MF,0,Al-Ittihad
Muath Fagihy,22,0.0,0.0,0.0,0.0,24.0,1,sa KSA,0.0,DF,0,Al-Ittihad
Abdulaziz Al-Bishi,30,0.0,0.0,0.0,0.0,1.0,1,sa KSA,0.0,MF,0,Al-Ittihad
Mohammed Fallatah,17,,,,,,0,sa KSA,,MF,0,Al-Ittihad
Abduleallah Hawsawi,-1,,,,,,0,sa KSA,,MF,0,Al-Ittihad
Yaseen Al Jaber,18,,,,,,0,sa KSA,,DF,0,Al-Ittihad
Mohammed Al-Mahasneh,-1,,,,,,0,sa KSA,,GK,0,Al-Ittihad
Yassine Bounou,33,0.0,0.0,0.0,0.0,270.0,3,ma MAR,0.0,GK,3,Al-Hilal
Ali Al-Bulaihi,34,0.0,0.0,0.0,0.0,270.0,3,sa KSA,0.0,DF,3,Al-Hilal
Aleksandar Mitrović,30,0.0,0.0,0.0,6.0,270.0,3,rs SRB,0.0,FW,3,Al-Hilal
Salem Al-Dawsari,33,2.0,0.0,0.0,1.0,269.0,3,sa KSA,0.0,MF,3,Al-Hilal
Sergej Milinković-Savić,29,1.0,0.0,0.0,1.0,269.0,3,rs SRB,0.0,MF,3,Al-Hilal
